Date,Price,Open,High,Low,Vol.,Change %,Stock symbol,Bank
2014-10-27,6200.7,6495.9,6495.9,6200.7,365290.0,-4.54,AGR,Agribank
2014-10-28,6397.5,6200.7,6495.9,6200.7,375160.0,3.17,AGR,Agribank
2014-10-29,6594.4,6495.9,6692.8,6397.5,309340.0,3.08,AGR,Agribank
2014-10-30,6397.5,6594.4,6692.8,6397.5,298880.0,-2.99,AGR,Agribank
2014-10-31,6594.4,6495.9,6594.4,6397.5,200800.0,3.08,AGR,Agribank
2014-11-03,6594.4,6692.8,6692.8,6495.9,313490.0,0.0,AGR,Agribank
2014-11-04,6594.4,6495.9,6594.4,6495.9,140890.0,0.0,AGR,Agribank
2014-11-05,6495.9,6594.4,6594.4,6397.5,231440.0,-1.49,AGR,Agribank
2014-11-06,6495.9,6495.9,6594.4,6495.9,172950.0,0.0,AGR,Agribank
2014-11-07,6594.4,6495.9,6594.4,6495.9,211790.0,1.52,AGR,Agribank
2014-11-10,6594.4,6692.8,6791.2,6594.4,264870.0,0.0,AGR,Agribank
2014-11-11,6594.4,6594.4,6692.8,6594.4,216930.0,0.0,AGR,Agribank
2014-11-12,6692.8,6692.8,6692.8,6594.4,202520.0,1.49,AGR,Agribank
2014-11-13,6692.8,6692.8,6791.2,6594.4,561040.0,0.0,AGR,Agribank
2014-11-14,6692.8,6692.8,6692.8,6594.4,189370.0,0.0,AGR,Agribank
2014-11-17,6692.8,6791.2,6791.2,6594.4,148230.0,0.0,AGR,Agribank
2014-11-18,6594.4,6692.8,6692.8,6594.4,301250.0,-1.47,AGR,Agribank
2014-11-19,6594.4,6594.4,6594.4,6495.9,152950.0,0.0,AGR,Agribank
2014-11-20,6594.4,6594.4,6692.8,6495.9,213710.0,0.0,AGR,Agribank
2014-11-21,6594.4,6594.4,6692.8,6495.9,275540.0,0.0,AGR,Agribank
2014-11-24,6397.5,6495.9,6594.4,6397.5,352290.0,-2.99,AGR,Agribank
2014-11-25,6397.5,6397.5,6495.9,6299.1,302540.0,0.0,AGR,Agribank
2014-11-26,6299.1,6397.5,6495.9,6299.1,387390.0,-1.54,AGR,Agribank
2014-11-27,6495.9,6397.5,6495.9,6200.7,154280.0,3.12,AGR,Agribank
2014-11-28,6594.4,6495.9,6594.4,6397.5,187080.0,1.52,AGR,Agribank
2014-12-01,6397.5,6594.4,6594.4,6397.5,217200.0,-2.99,AGR,Agribank
2014-12-02,6495.9,6397.5,6495.9,6397.5,89910.0,1.54,AGR,Agribank
2014-12-03,6495.9,6495.9,6594.4,6397.5,129720.0,0.0,AGR,Agribank
2014-12-04,6495.9,6495.9,6692.8,6495.9,218090.0,0.0,AGR,Agribank
2014-12-05,6594.4,6495.9,6594.4,6495.9,280680.0,1.52,AGR,Agribank
2014-12-08,6397.5,6692.8,6692.8,6397.5,300910.0,-2.99,AGR,Agribank
2014-12-09,6200.7,6594.4,6594.4,6200.7,168440.0,-3.08,AGR,Agribank
2014-12-10,6397.5,6200.7,6397.5,6200.7,200510.0,3.17,AGR,Agribank
2014-12-11,6200.7,6397.5,6397.5,6200.7,110060.0,-3.08,AGR,Agribank
2014-12-12,6299.1,6299.1,6397.5,6299.1,93270.0,1.59,AGR,Agribank
2014-12-15,6397.5,6299.1,6397.5,6299.1,61960.0,1.56,AGR,Agribank
2014-12-16,6200.7,6299.1,6397.5,6102.2,154100.0,-3.08,AGR,Agribank
2014-12-17,6003.8,6299.1,6299.1,5807.0,193080.0,-3.18,AGR,Agribank
2014-12-18,6200.7,6003.8,6200.7,6003.8,102830.0,3.28,AGR,Agribank
